timestamp,lot_id,marteau_eur,bids,watchers,note
2026-05-27T17:51:00+02:00,A1-45182-34,45,2,,Sato CL4NX 2x · scout J-1
2026-05-27T17:51:00+02:00,A1-45182-139,120,9,,Weller WE1010 3x · OVERBID (de 23 a 120 en 24h)
2026-05-27T17:51:00+02:00,A1-45182-104,0,0,,Testo Saveris 2 · fenêtre intacte J-1
2026-05-27T17:51:00+02:00,A1-40520-1852,0,0,,HP 8153A Lightwave · 0 bids J-2
2026-05-27T17:51:00+02:00,A1-40520-4576,60,11,,Fluke ESA612 · OVERBID
2026-05-27T17:51:00+02:00,A1-40520-2719,0,0,,Tek 2465B · 0 bids J-2
2026-05-27T17:51:00+02:00,A1-40520-2676,0,0,,Tek 2235 · 0 bids J-2
2026-05-27T17:51:00+02:00,A1-40520-2584,20,3,34,Pelican 1720 long case · watchlist alpha
2026-05-28T01:50:00+02:00,A1-45182-34,45,2,,Sato CL4NX · stable J-0 nuit
2026-05-28T01:50:00+02:00,A1-45182-104,0,0,,Testo · 0 bids confirmé · MAIS calibration eBay révèle saturation neuf
2026-05-28T01:50:00+02:00,A1-45182-99,20,1,,Lutron TM-947SD 3x · Tier 2 découverte
2026-05-28T01:50:00+02:00,A1-40520-1852,0,0,,HP 8153A · stable J-1 nuit
2026-05-28T01:50:00+02:00,A1-40520-2719,0,0,,Tek 2465B · stable J-1 nuit
2026-05-28T01:50:00+02:00,A1-40520-2676,0,0,,Tek 2235 · stable J-1 nuit
2026-05-28T02:00:00+02:00,A1-45182-79,25,0,10,Scanner AT-002 2D 10x · ouverture intacte
2026-05-28T02:00:00+02:00,A1-45182-83,170,19,53,Intel NUC 3x · OVERBID (pros sur le lot)
2026-05-28T02:00:00+02:00,A1-46552-169,120,10,137,Marantz CD6007 · OVERBID Pruijn
2026-05-28T02:00:00+02:00,A1-46552-465,60,12,30,Marmitek Power S1 48x · explosé Pruijn
2026-05-28T01:05:55+00:00,A1-45182-34,47.0,3,5,auto-update
2026-05-28T01:31:35+00:00,A1-45182-34,45.0,2,,auto-update
2026-05-28T01:31:35+00:00,A1-45182-79,25.0,0,10,auto-update
2026-05-28T01:31:35+00:00,A1-40520-1852,10.0,0,,auto-update
2026-05-28T01:31:35+00:00,A1-40520-2719,15.0,2,,auto-update
2026-05-28T01:31:35+00:00,A1-40520-2676,10.0,1,,auto-update
2026-05-28T05:47:51+00:00,A1-45182-79,25.0,0,,auto-update
2026-05-28T05:47:51+00:00,A1-40520-2719,15.0,2,,auto-update
2026-05-28T05:47:51+00:00,A1-40520-2676,10.0,1,,auto-update
2026-05-29T01:14:52+00:00,A1-40520-1852,10.0,0,,auto-update
2026-05-29T01:14:52+00:00,A1-40520-2719,20.0,3,,auto-update
2026-05-29T01:14:52+00:00,A1-40520-2676,15.0,2,,auto-update
2026-05-29T01:14:52+00:00,A1-38772-58,10.0,0,,auto-update
2026-05-29T01:14:52+00:00,A1-38772-54,10.0,1,,auto-update
2026-05-29T01:14:52+00:00,A1-38772-50,10.0,1,,auto-update
2026-05-29T01:14:52+00:00,A1-45815-237,220.0,27,,auto-update
2026-05-29T05:40:11+00:00,A1-40520-1852,10.0,0,,auto-update
2026-05-29T05:40:11+00:00,A1-40520-2676,15.0,2,,auto-update
2026-05-29T05:40:11+00:00,A1-38772-50,10.0,1,,auto-update
2026-05-29T12:15:28+00:00,A1-40520-2719,80.0,14,,auto-update
2026-05-29T12:31:36+00:00,A1-40520-2676,35.0,6,,auto-update
2026-05-29T12:33:03+00:00,A1-40520-1852,10.0,0,,auto-update
2026-05-30T05:37:33+00:00,A1-38772-58,10.0,1,,auto-update
2026-05-30T05:37:33+00:00,A1-38772-54,41.0,8,,auto-update
2026-05-30T05:37:33+00:00,A1-38772-50,24.0,5,,auto-update
2026-05-31T10:43:22+00:00,A1-45815-237,220.0,27,,auto-update
2026-05-31T10:43:22+00:00,A1-38772-54,35.0,8,,auto-update
2026-05-31T10:43:22+00:00,A1-38772-50,15.0,3,,auto-update
2026-05-31T10:43:22+00:00,A1-38772-58,20.0,4,,auto-update
2026-05-31T10:44:29+00:00,A1-38772-54,10.0,1,,auto-update
2026-05-31T10:44:29+00:00,A1-38772-50,10.0,1,,auto-update
2026-05-31T10:44:29+00:00,A1-38772-58,10.0,0,,auto-update
